target,tar_desc,enriched_desc
112/1016223877,A complex network of green lines and dots against a black background.,"[""Green lines and dots on a black background"", ""Complex network of green elements against black"", ""Black backdrop with green lines and dots"", ""Green network over a dark background"", ""Detailed green design on black canvas"", ""Black frame with green lines and dots"", ""Green details on a black screen"", ""Black background with green lines and dots"", ""Green elements on a black backdrop"", ""Black frame featuring green lines and dots""]"
89/1006630957,"The Christmas tree is beautifully lit with small white lights, casting a warm glow on the colorful ornaments. The camera captures the shimmering effect of the lights, highlighting the festive decorations.","[""Christmas tree adorned with twinkling lights"", ""Warm glow from the lit Christmas tree"", ""Festive decorations illuminated by lights"", ""Shimmering ornaments under the tree lights"", ""Camera captures the glowing Christmas tree"", ""Colorful ornaments highlighted by tree lights"", ""Festive scene with a lit Christmas tree"", ""Tree lights casting a warm glow on ornaments"", ""Glimmering decorations under the tree lights"", ""Camera focuses on the lit Christmas tree""]"
70/27375787,"The billboard is now blank, with no green screen visible.","[""Blank billboard on city street"", ""Billboard cleared of green screen"", ""Cityscape without billboard distraction"", ""Green screen removed from billboard"", ""Blank billboard amidst urban scene"", ""No green screen on billboard"", ""Urban view with empty billboard"", ""Billboard gone blank in city"", ""No green screen on billboard"", ""Blank billboard in city view""]"
16/5975282,A group of goats grazing in a lush green field.,"[""Goats graze in a lush green field"", ""A group of goats in a verdant pasture"", ""Grazing goats in a scenic field"", ""Goats enjoy a green meadow"", ""A herd of goats in a pastoral setting"", ""Goats in a vibrant green field"", ""Pastoral scene with grazing goats"", ""Grazing goats in a lush field"", ""Goats in a serene green landscape"", ""A group of goats in a picturesque field""]"
65/25330184,"A machine processes a blue substance, likely chocolate, on a conveyor belt. The substance is being spread evenly across the belt, and a hand is seen using a tool to smooth out the surface.","[""Machine processes blue substance on conveyor belt"", ""Hand uses tool to smooth blue substance"", ""Blue substance spread evenly on conveyor belt"", ""Machine operates with blue material"", ""Tool used to smooth blue substance surface"", ""Blue substance processed by machine"", ""Hand applies tool to blue material"", ""Machine handles blue substance on belt"", ""Blue material smoothed by hand tool"", ""Machine works with blue substance on belt""]"
164/1039999175,"A teenage girl enjoying a bubble bath in a bathroom, playing with the foam and smiling at the camera.","[""Teenage girl泡着泡泡浴"", ""少女在浴室享受泡泡浴"", ""女孩在浴室里玩泡泡"", ""少女在浴室里享受泡泡浴时光"", ""少女在浴室里泡着泡泡浴"", ""少女在浴室里享受泡泡浴的乐趣"", ""少女在浴室里玩泡泡"", ""少女在浴室里享受泡泡浴的快乐"", ""少女在浴室里泡着泡泡浴"", ""少女在浴室里享受泡泡浴的美好时光""]"
112/1015913842,"A young woman with blonde hair wearing a yellow tank top appears to be looking down with a slightly awkward or confused expression, possibly making her look nerdy.","[""Woman with blonde hair looks down awkwardly"", ""Blonde woman in yellow tank top seems confused"", ""Young woman with a nerdy expression"", ""Nerdish look on blonde woman’s face"", ""Woman with a slightly awkward expression"", ""Blonde girl in yellow tank top looks down"", ""Nerdy expression on blonde woman’s face"", ""Woman with a confused look on her face"", ""Blonde woman in yellow tank top looks down awkwardly"", ""Woman with a slightly confused expression""]"
196/1061979388,"A rotating view of Mars against a starry space backdrop. The surface of Mars is depicted with its characteristic reddish hue and polar ice caps, showcasing its unique geological features.","[""Mars rotates against a starry backdrop"", ""A view of Mars with polar ice caps"", ""The red planet Mars in space"", ""Mars' surface with its distinctive features"", ""A Martian landscape under starlight"", ""Mars' unique geological formations"", ""Mars' polar ice caps in view"", ""A starry sky behind Mars"", ""Mars' reddish hue in space"", ""Mars' surface with its characteristic features""]"
91/1007461447,The wrapped gift box now has a ribbon of a different color.,"[""Gift box with a differently colored ribbon"", ""Wrapped present featuring a new ribbon hue"", ""Ribbon color change on the gift box"", ""A gift box with a ribbon of a different color"", ""The ribbon on the gift box is now a different shade"", ""A gift box with a newly colored ribbon"", ""Wrapped gift box with a changed ribbon color"", ""A gift box with a ribbon of a different color"", ""The ribbon on the gift box has been altered in color"", ""A gift box with a ribbon of a new color""]"
114/1017113779,"Hazelnuts are shown falling onto a white surface, settling, and being arranged in a close-up shot, highlighting their natural texture and color.","[""Hazelnuts falling on a white surface"", ""Close-up of hazelnuts settling down"", ""Natural texture of hazelnuts highlighted"", ""Arranging hazelnuts in a close-up shot"", ""Hazelnuts' color and texture showcased"", ""White surface with hazelnuts being arranged"", ""Detailed view of hazelnuts' natural look"", ""Hazelnuts falling and settling in a close-up"", ""Highlighting hazelnuts' natural beauty"", ""Arranging hazelnuts in a detailed close-up""]"
