target,tar_desc
112/1016223877,"The image features a complex network of green lines and dots on a black background, resembling a digital or abstract representation of connections or pathways."
89/1006630957,"A beautifully decorated Christmas tree is lit with small white lights, illuminating colorful ornaments and creating a festive atmosphere."
70/27375787,"A blank digital billboard stands on a sidewalk next to a busy street, with cars and buildings in the background."
16/5975282,"A group of cows grazing in a green field, with one cow replaced by a goat."
65/25330184,"The printing press features a large roller covered in thick, glossy blue ink."
164/1039999175,"A teenage girl sits in a bathtub filled with bubbles, playfully holding a piece of soap."
112/1015913842,"A woman with long blonde hair wearing glasses and a quirky outfit, standing with her arms crossed against a green background."
196/1061979388,"The image shows the planet Mars, characterized by its reddish surface and visible valleys, set against a black backdrop of space."
91/1007461447,"The gift box is wrapped in light brown kraft paper and features a ribbon tied in a bow at the top, which is now a different color."
114/1017113779,A close-up view of a pile of hazelnuts scattered on a surface.
113/1016417848,"A waterfall is positioned at the top, cascading down over dark rocks."
79/31030384,"A hippopotamus is in a zoo enclosure, partially submerged in water, surrounded by a landscaped area with barriers."
26/9850094,A field of yellow tulips with a single white tulip standing among them.
120/1019450026,"The cityscape is illuminated by warm streetlights, creating a serene evening atmosphere."
92/1007953600,The image shows a serene ocean view during sunset with an orange sky and water reflecting the warm hues.
46/17789092,"The image shows a grassy field with several horses grazing. A large white horse is bending down to eat grass, while another white horse is lying down in the background, and a small brown foal is resting nearby."
195/1061652037,"A dense forest of evergreen trees shrouded in fog, creating a serene and mysterious atmosphere."
161/1038248252,"A child's small hands are playing the piano, positioned over the keys with a joyful expression."
19/6998899,"Four chicken patties are sizzling on a grill, with smoke rising around them."
7/3101338,A moose is eating grass in a grassy field.
15/5607887,A hand pouring champagne from a brown bottle into a clear glass mug.
50/19139647,"A vibrant display of colorful fireworks bursting in various shapes against a dark night sky, featuring bright reds, greens, blues, and yellows."
54/21050647,"A golden trophy shaped like a heart, adorned with colorful flowers and green leaves around the base, representing a gardening theme."
60/23674450,A wooden plate with cherry tomatoes and a mix of leafy greens.
187/1055275253,"A basket containing six white eggs arranged in two rows of three, resting on a bed of straw."
5/2445590,"A couple sitting together on the beach, enjoying the sun and sharing a romantic moment."
143/1029254246,"A wet street is shown with rain falling, creating puddles on the pavement."
23/8724241,"The person stands with arms crossed and a frown, displaying an angry expression."
162/1038873812,"A vision icon, such as an eye or light bulb, is displayed prominently on a dark background."
73/28815640,"A woman is sitting at an eye examination machine, positioned closely to the optical instruments."
159/1037198261,"A group of hippos gathered near a water body, with some partially submerged and others standing on the bank."
22/8175793,A woman is driving a black convertible car along a beachside road with a man sitting in the passenger seat.
37/14125823,"A brilliant orange diamond in the shape of a triangle, with a faceted surface reflecting light against a black background."
182/1051614052,A splatter of dark brown coffee on a white surface.
57/22170196,The night sky is illuminated by yellow fireworks bursting in various shapes and patterns.
95/1008991985,"A businessman and a businesswoman are engaged in a discussion, with digital elements around them representing their relationship, including terms like 'Trust', 'Collaboration', and 'Communication'."
12/4863143,A stack of dusty books with red covers and golden edges.
187/1055192048,The woman in a pink sleeveless top is drinking water from a shaker bottle with a blue lid.
66/25791737,"A woman standing in front of a glass board covered with colorful sticky notes, holding a small object and interacting with the notes."
96/1009509707,"Two polished wooden caskets are placed side by side on a surface, both featuring a smooth finish and small golden handles."
56/21892387,A bumblebee is perched on a purple flower.
81/31786621,"A businessman interacts with a holographic educational interface above his smartphone, featuring icons representing cross-platform accessibility."
12/4916840,"Maple leaves are falling from branches, illuminated by sunlight."
137/1026649082,"Pine trees silhouetted against a vibrant sunset sky filled with shades of orange, pink, and blue."
15/5790809,"A sparkler emits bright, sparkling lights against a dark background."
37/14259386,"A crowd of people is gathered in an outdoor setting, with various individuals visible in the background."
20/7413952,"A river flows through a landscape at sunset, with tall grasses along the riverbank and the sky reflecting hues of pink and orange on the water surface."
18/6692486,"A businessman with short hair, dressed in a dark suit, is seated next to a woman in a light gray blazer, both engaged with their smartphones."
7/3249973,A flock of seagulls is flying in the sky against a backdrop of clouds.
73/28520983,"A man sitting at an outdoor café table, using a laptop and holding a smartphone."
59/22974412,"A view of a circuit board from above, suggesting a flying perspective over its intricate pathways and connections."
74/28909057,The warning sign about dengue is now surrounded by signs of a plague affecting the area.
24/8901043,"The image shows a countdown timer with the number '5' in black, surrounded by two concentric white circles, set against a blue background."
16/6196238,A hand holding a knife above a sliced orange.
116/1017658294,A man in a neon yellow shirt and black shorts is stretching on a sandy beach.
112/1015919176,"A stone cross stands amidst greenery, surrounded by trees and foliage."
62/24350933,"A stir-fry featuring prominently sliced onions mixed with colorful vegetables like broccoli, carrots, and cauliflower in a pan."
177/1048110868,"A person standing in a well-lit indoor setting, wearing a dark blazer over a light-colored shirt with a subtle pattern."
48/18327244,Spectators in a stadium are watching a beautiful sunset in the sky.
151/1032923978,"A pixelated sale icon, such as a shopping cart or price tag, is displayed on a digital screen with a glowing effect against a dark background."
186/1054592420,A variety of crackers scattered on a colorful checkered tablecloth.
37/13986764,A field filled with green grass.
196/1062506389,"A cartoonish cowboy character wearing a cowboy hat and boots, holding a dumbbell in each hand."
34/12665768,"The image shows a close-up view of an aged metal component being machined, with a worn appearance and muted colors."
86/33830668,"A black car is parked off the snowy road, surrounded by snow-covered trees."
29/10691675,A child is smelling a wildflower in a garden.
0/96100,"The sky is filled with dark, moody clouds that create a dramatic atmosphere."
43/16380667,A man and a woman are walking together in a green park.
89/35067466,A vibrant meadow filled with green grass and scattered yellow buttercup flowers under a cloudy sky.
184/1053252974,"A man sitting on a gray sofa, holding a smartphone to his ear, wearing a bright yellow t-shirt."
43/16594468,"The man is laughing, showing a joyful expression."
134/1025623334,A hand is pouring clear water from a glass bottle into a clear glass.
0/295531,"Tourists are gathered in the foreground near the reflective water, with the Lincoln Memorial visible in the background."
59/22971958,A bee is hovering near a sunflower in a vibrant field filled with sunflowers.
85/33560377,A blue outlined button labeled 'Start' with a circular arrow icon to the left.
59/23186836,Shrimp cooked in a flavorful curry sauce with spices and vegetables.
4/2100143,A woman is blowing air with her hands positioned in front of her.
42/15999814,"A black frying pan on a stovetop contains various colorful vegetables, such as bell peppers, zucchini, and carrots."
196/1062182722,Two lions are resting in tall grass in a savanna landscape.
85/33768661,There are six white candles with flickering flames against a dark background.
163/1039235633,A cluster of red grapes hanging from a vine surrounded by green leaves.
82/32134282,"The landscape features a calm river winding through a lush green forest under evening light, with warmer tones reflecting off the water and longer shadows cast by the trees."
65/25586804,"A digital interface shows a progress bar labeled 'SEARCHING' at 50% completion, with the word 'MOTIVATION' displayed below."
6/2817694,A person is cutting an orange on a wooden cutting board.
6/2829514,The walls of the construction site are painted white.
4/2010767,"A woman in a black suit sits confidently at her desk, smiling while looking at her laptop, suggesting a sense of success."
79/30956488,A hand typing on a silver laptop keyboard.
66/25985219,A burning lotus-shaped candle in a small wooden bowl.
127/1022614279,"An older man and woman are lying on a bed, appearing relaxed and comfortable."
7/3076444,"A brown horse is standing inside a barn, surrounded by wooden beams and hay."
189/1056739901,A man with curly hair wearing a white striped shirt is holding a smartphone in one hand and a pen in the other.
139/1027490540,"A pink sticky note on a black surface with the word 'TURKEY' written in bold, black letters."
180/1050234397,A hand is writing the word 'off' in chalk on a blackboard in a cozy home setting.
121/1019867641,A hand holding a knife above a wooden cutting board with a whole onion being chopped.
171/1043877163,"Two pelicans are swimming in a calm body of water, creating ripples around them."
60/23386387,A black monochromatic image of a man polishing a shoe with a black cloth.
9/3742067,A person wearing a hard hat is welding metal on the ceiling of a construction site.
146/1030452554,"A person surfing on the ocean, riding a wave on a surfboard."
18/6631415,"A barren, plowed field with no vegetation, showing bare soil and a clear sky."
157/1035905804,"The city skyline at sunset, with warm hues of orange, pink, and purple illuminating the buildings."
38/14558791,"A tranquil lake surrounded by trees, reflecting the calm water."
13/5140988,"A woman jogging along a paved path in a park, surrounded by tall trees."
85/33529060,"The person is smiling emotionally, conveying warmth and happiness."
44/16828882,"A cluster of pink plumeria flowers with yellow centers, surrounded by green leaves."
58/22641691,A bustling college campus with students walking between buildings.
61/23753104,The woman in a white bathrobe is standing by a large window holding a glass of coffee.
87/34211839,"The image shows a sea with visible waves creating a dynamic surface, reflecting light from the sky."
66/26075435,"A person sitting on a couch in a dimly lit room, holding a laptop in their hands."
64/24902378,"A clear glass bowl filled with black liquid, showing a swirling pattern."
1/792214,"A woman is lying on the sand at a beach, facing away from the camera, wearing a one-shoulder orange swimsuit."
84/33244042,A person in a winter jacket stands on snow in a mountain forest with tall evergreen trees and a bright blue sky.
10/4187389,A bush covered with ripe red tomatoes and green leaves.
26/9779090,A pavement surface covered with raindrops.
12/4663040,"A young woman lounges on the beach, wearing a white tank top and a colorful sarong, with the ocean waves gently lapping at her feet."
163/1039187426,A field of lavender flowers under a warm sunset sky.
97/1009919321,A person is pouring a cup of coffee against a backdrop of green hills.
5/2355584,"The fluffy white clouds appear to be moving away from the sunlight, creating a sense of motion in the sky."
