video_id,obj_det
112/1016223889,"The video contains line, dot, text, black, white, frame."
14/5369546,"The video contains Christmas tree, ornament, gift, wrapping paper, ribbon, lights, box, decoration."
70/27387901,"The video contains billboard, green screen, street, cars, buildings, sidewalk, pedestrian, pole, sky."
11/4380494,"The video contains cow, grass, field, fence post."
65/25330235,"The video contains machine, liquid, hand, tool, surface."
164/1039971851,"The video contains girl, bathtub, foam, bathroom, soap."
111/1015765039,"The video contains woman, hand, finger, mouth, arm, green background."
196/1061979454,"The video contains moon, star."
91/1007461426,"The video contains gift box, ribbon, bow, wood."
114/1017113773,"The video contains almond, bowl."
112/1016010526,"The video contains water, rocks, stream."
7/3032707,"The video contains hippo, water, leaf."
26/9850151,"The video contains tulip, flower, field."
120/1019642635,"The video contains city, street, building, light, window, traffic, night, sky."
118/1018617415,"The video contains ocean, sunset, clouds, sun, horizon."
199/1064923126,"The video contains cow, calf, grass, field, tree."
195/1061765356,"The video contains forest, tree, sky."
138/1027120709,"The video contains piano, hand, finger, ring."
117/1018271431,"The video contains hamburger, grill, smoke."
52/19999990,"The video contains moose, grass, forest."
30/11133218,"The video contains beer bottle, glass, beer, hand, foam."
52/20335318,"The video contains fireworks, night sky."
55/21632887,"The video contains heart, trophy, white background."
28/10491026,"The video contains jar, salad, bowl, lettuce, tomato, cucumber, egg, beans, hand, table."
87/34510636,"The video contains egg, box, hand, table."
5/2462615,"The video contains beach, sand, woman, bikini, umbrella, people, water, boat, trees, sky."
69/26882884,"The video contains water, plant, grass, pot, tree."
23/8724193,"The video contains person, hair curlers, scarf, shirt, hand."
162/1038873836,"The video contains screen, text, word, letter, pixel."
72/28427452,"The video contains man, machine, eye, tool, person."
159/1037197634,"The video contains elephant, water, shore, bush."
22/8175760,"The video contains woman, car, ocean, beach."
37/14125871,"The video contains citrine, light, black background."
179/1049021713,"The video contains paint, surface."
57/22296331,"The video contains light, dark background."
88/34868374,"The video contains businessman, suit, tie, smartphone, hologram, text, customer experience, network, data, numbers."
11/4298192,The video contains book.
187/1055192093,"The video contains woman, bottle, wall."
66/25791668,"The video contains man, sticky notes, pen, window, office."
96/1009509746,"The video contains ""casket, flowers, vase, curtain."
56/21900709,"The video contains flower, insect, stem."
83/32959324,"The video contains businessman, suit, tie, phone, hologram, text, tutoring, globe, network, circles, numbers."
7/2953435,"The video contains leaf, branch, tree."
114/1016798236,"The video contains palm tree, sky, cloud."
78/30526981,"The video contains fire, wood, flame."
69/26943955,"The video contains floor, foot, shoe, leg."
0/84808,"The video contains water, sky, clouds, grass, reflection."
18/6692459,"The video contains phone, hand, woman, person, finger, nail, wristwatch, hair, arm, jacket, shirt, subway."
197/1063463245,"The video contains bird, sky, cloud, branch, flower."
73/28874800,"The video contains woman, tablet, laptop, cup, table, street, tree, person, stroller, building."
28/10524371,"The video contains circuit board, copper traces, solder pads."
74/28909747,"The video contains sign, fence, pole, sky."
24/8901046,"The video contains number, circle, line, green, black."
54/20848309,"The video contains watermelon, knife, hand, table."
116/1017658237,"The video contains beach, sand, ocean, sky, clouds, person, running shoes."
116/1017642862,"The video contains statue, tree, sky."
63/24777329,"The video contains broccoli, cauliflower, carrot, lettuce, pan, spoon."
178/1048380946,"The video contains man, clock, plant, shelf, folder, wall."
48/18327175,"The video contains stadium, stands, field, track, seats, lights, sky."
151/1032923942,"The video contains screen, pixel, phone icon."
186/1054592408,"The video contains cookie, tablecloth, text."
67/26371913,"The video contains ""dandelion, grass, plant, flower, stem, field."
187/1055170358,"The video contains doctor, dumbbell, silhouette, hat, balloon."
90/1007228323,"The video contains machine, metal part, bolt, nut, gear, tool, surface."
15/5926400,"The video contains car, road, snow, streetlight, house, tree."
104/1012757270,"The video contains sunflower, girl, hand, bracelet."
1/506239,"The video contains cloud, sky."
2/889219,"The video contains couple, bench, park, tree, scarf, jacket."
43/16672897,"The video contains flower, grass, sky, cloud."
193/1059359705,"The video contains woman, couch, pillow, phone, hand, ear, mouth, eye, nose, hair, shirt, jeans, finger."
43/16594387,"The video contains man, face, hair, beard, eye, nose, mouth, ear, skin, freckles."
...
